feature,gene,importance,abs_importance,importance_type,fold,rank,antibiotic,model
amr__mrx,mrx,0.0227,0.0227,random_forest_gini_importance,1,6,ciprofloxacin,random_forest_balanced
amr__escherichia_quinolone_resistant_pare,escherichia_quinolone_resistant_pare,0.0194,0.0194,random_forest_gini_importance,1,7,ciprofloxacin,random_forest_balanced
amr__ctx-m-15,ctx-m-15,0.0163,0.0163,random_forest_gini_importance,1,8,ciprofloxacin,random_forest_balanced
amr__aada5,aada5,0.0152,0.0152,random_forest_gini_importance,1,9,ciprofloxacin,random_forest_balanced
amr__sul1,sul1,0.0137,0.0137,random_forest_gini_importance,1,10,ciprofloxacin,random_forest_balanced
amr__dfra17,dfra17,0.0137,0.0137,random_forest_gini_importance,1,11,ciprofloxacin,random_forest_balanced
amr__escherichia_fosfomycin_resistant_ptsi,escherichia_fosfomycin_resistant_ptsi,0.0131,0.0131,random_forest_gini_importance,1,12,ciprofloxacin,random_forest_balanced
amr__ctx-m_family,ctx-m_family,0.0125,0.0125,random_forest_gini_importance,1,13,ciprofloxacin,random_forest_balanced
amr__vgac,vgac,0.0102,0.0102,random_forest_gini_importance,1,14,ciprofloxacin,random_forest_balanced
amr__multispecies_mpha_family_macrolide_2-phosphotransferase,multispecies_mpha_family_macrolide_2-phosphotransferase,0.0099,0.0099,random_forest_gini_importance,1,15,ciprofloxacin,random_forest_balanced
amr__teta,teta,0.0091,0.0091,random_forest_gini_importance,1,16,ciprofloxacin,random_forest_balanced
amr__multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,multispecies_class_a_extended-spectrum_beta-lactamase_ctx-m-15,0.0091,0.0091,random_forest_gini_importance,1,17,ciprofloxacin,random_forest_balanced
amr__catb3,catb3,0.0087,0.0087,random_forest_gini_importance,1,18,ciprofloxacin,random_forest_balanced
amr__escherichia_coli_ptsi_with_mutation_conferring_resistance_to_fosfomycin,escherichia_coli_ptsi_with_mutation_conferring_resistance_to_fosfomycin,0.008,0.008,random_forest_gini_importance,1,19,ciprofloxacin,random_forest_balanced
amr__tem_family,tem_family,0.0075,0.0075,random_forest_gini_importance,1,20,ciprofloxacin,random_forest_balanced
amr__escherichia_quinolone_resistant_gyra,escherichia_quinolone_resistant_gyra,0.0675,0.0675,random_forest_gini_importance,2,1,ciprofloxacin,random_forest_balanced
amr__escherichia_quinolone_resistant_parc,escherichia_quinolone_resistant_parc,0.0503,0.0503,random_forest_gini_importance,2,2,ciprofloxacin,random_forest_balanced
amr__escherichia_coli_gyra_conferring_resistance_to_fluoroquinolones,escherichia_coli_gyra_conferring_resistance_to_fluoroquinolones,0.036,0.036,random_forest_gini_importance,2,3,ciprofloxacin,random_forest_balanced
amr__escherichia_coli_parc_conferring_resistance_to_fluoroquinolones,escherichia_coli_parc_conferring_resistance_to_fluoroquinolones,0.0316,0.0316,random_forest_gini_importance,2,4,ciprofloxacin,random_forest_balanced
amr__mpha,mpha,0.0293,0.0293,random_forest_gini_importance,2,5,ciprofloxacin,random_forest_balanced
amr__mrx,mrx,0.0219,0.0219,random_forest_gini_importance,2,6,ciprofloxacin,random_forest_balanced
