antibiotic,model,feature,gene,selection_frequency,mean_rank,mean_abs_importance,mean_signed_importance
cefotaxime,logistic_regression_balanced,amr__extended-spectrum_class_a_beta-lactamase_ctx-m-55,extended-spectrum_class_a_beta-lactamase_ctx-m-55,1,15.0,0.2385,0.2385
cefotaxime,logistic_regression_balanced,amr__undecaprenyl-diphosphatase_bcrc_ec_3.6.1.27_conveys_bacitracin_resistance,undecaprenyl-diphosphatase_bcrc_ec_3.6.1.27_conveys_bacitracin_resistance,1,16.0,0.23,-0.23
cefotaxime,logistic_regression_balanced,amr__multispecies_type_b-3_chloramphenicol_o-acetyltransferase_catb3,multispecies_type_b-3_chloramphenicol_o-acetyltransferase_catb3,1,16.0,0.213,0.213
cefotaxime,logistic_regression_balanced,amr__ctx-m-27,ctx-m-27,1,17.0,0.2199,0.2199
cefotaxime,logistic_regression_balanced,amr__response_regulator_baer,response_regulator_baer,1,18.0,0.2175,-0.2175
cefotaxime,logistic_regression_balanced,amr__broad-spectrum_class_a_beta-lactamase_tem-1,broad-spectrum_class_a_beta-lactamase_tem-1,1,18.0,0.2142,-0.2142
cefotaxime,logistic_regression_balanced,amr__escherichia_quinolone_resistant_pare,escherichia_quinolone_resistant_pare,1,19.0,0.2113,0.2113
cefotaxime,logistic_regression_balanced,amr__multispecies_chloramphenicol_efflux_mfs_transporter_cmla1,multispecies_chloramphenicol_efflux_mfs_transporter_cmla1,1,19.0,0.2071,-0.2071
cefotaxime,logistic_regression_balanced,amr__shv-64,shv-64,1,20.0,0.2009,0.2009
cefotaxime,logistic_regression_balanced,amr__mpha,mpha,1,20.0,0.1934,0.1934
cefotaxime,random_forest_balanced,amr__ctx-m_family,ctx-m_family,3,1.3333,0.0326,0.0326
cefotaxime,random_forest_balanced,amr__escherichia_quinolone_resistant_gyra,escherichia_quinolone_resistant_gyra,3,1.6667,0.0302,0.0302
cefotaxime,random_forest_balanced,amr__ctx-m-15,ctx-m-15,3,3.6667,0.0241,0.0241
