antibiotic,feature,n_present,prevalence_pct
ciprofloxacin,amr__ctx-m-2,2,0.027
ciprofloxacin,amr__ctx-m-23,1,0.014
ciprofloxacin,amr__ctx-m-24,0,0.0
ciprofloxacin,amr__ctx-m-27,34,0.465
ciprofloxacin,amr__ctx-m-32,1,0.014
ciprofloxacin,amr__ctx-m-55,25,0.342
ciprofloxacin,amr__ctx-m-65,1,0.014
ciprofloxacin,amr__ctx-m-75,0,0.0
ciprofloxacin,amr__ctx-m-9,1,0.014
ciprofloxacin,amr__ctx-m-98,1,0.014
ciprofloxacin,amr__ctx-m_family,158,2.161
ciprofloxacin,amr__ctx-m_family_extended-spectrum_class_a_beta-lactamase,1,0.014
ciprofloxacin,amr__cyaa,2,0.027
ciprofloxacin,amr__cyclic_amp_receptor_protein,204,2.79
ciprofloxacin,amr__cys_regulon_transcriptional_activator_cysb,220,3.008
ciprofloxacin,amr__cysb,823,11.254
ciprofloxacin,amr__cysb_2,2,0.027
ciprofloxacin,amr__d-alanine--d-alanine_ligase_ec_6.3.2.4,442,6.044
ciprofloxacin,amr__dadx,31,0.424
ciprofloxacin,amr__ddl,1438,19.664
ciprofloxacin,amr__ddla,55,0.752
ciprofloxacin,amr__ddlb,31,0.424
ciprofloxacin,amr__dfra,8,0.109
ciprofloxacin,amr__dfra1,111,1.518
ciprofloxacin,amr__dfra10,2,0.027
ciprofloxacin,amr__dfra12,80,1.094
ciprofloxacin,amr__dfra14,96,1.313
ciprofloxacin,amr__dfra15,2,0.027
ciprofloxacin,amr__dfra16,0,0.0
ciprofloxacin,amr__dfra17,270,3.692
ciprofloxacin,amr__dfra19,1,0.014
ciprofloxacin,amr__dfra21,1,0.014
ciprofloxacin,amr__dfra36,3,0.041
ciprofloxacin,amr__dfra5,49,0.67
ciprofloxacin,amr__dfra7,22,0.301
ciprofloxacin,amr__dfra8,12,0.164
ciprofloxacin,amr__dfrd,3,0.041
ciprofloxacin,amr__dha-1,2,0.027
ciprofloxacin,amr__dha-16,1,0.014
ciprofloxacin,amr__dha_family_class_c_beta-lactamase,0,0.0
ciprofloxacin,amr__dhamor_family,1,0.014
ciprofloxacin,amr__dhfri,39,0.533
ciprofloxacin,amr__dhfri_1,1,0.014
ciprofloxacin,amr__dhfri_2,1,0.014
ciprofloxacin,amr__dhfrv,17,0.232
ciprofloxacin,amr__dihydrofolate_reductase_ec_1.5.1.3,337,4.608
ciprofloxacin,amr__dihydropteroate_synthase_ec_2.5.1.15,416,5.688
ciprofloxacin,amr__dihydropteroate_synthase_type-2_ec_2.5.1.15_sulfonamide_resistance_protein,104,1.422
ciprofloxacin,amr__dna-binding_protein_h-ns,482,6.591
ciprofloxacin,amr__dna-binding_response_regulator_kdpe,212,2.899
ciprofloxacin,amr__dna-binding_transcriptional_dual_regulator_rob,2,0.027
ciprofloxacin,amr__dna-binding_transcriptional_dual_regulator_soxs,237,3.241
ciprofloxacin,amr__dna-directed_rna_polymerase_beta_subunit_ec_2.7.7.6,544,7.439
ciprofloxacin,amr__dna_gyrase_subunit_a_ec_5.99.1.3,409,5.593
ciprofloxacin,amr__dna_gyrase_subunit_b_ec_5.99.1.3,404,5.524
ciprofloxacin,amr__dna_topoisomerase_iv_subunit_a_ec_5.99.1.3,217,2.967
ciprofloxacin,amr__dna_topoisomerase_iv_subunit_b_ec_5.99.1.3,226,3.09
ciprofloxacin,amr__dxr,794,10.857
ciprofloxacin,amr__ebr,20,0.273
ciprofloxacin,amr__ec-13,33,0.451
ciprofloxacin,amr__ec-14,107,1.463
ciprofloxacin,amr__ec-15,50,0.684
ciprofloxacin,amr__ec-16,1,0.014
ciprofloxacin,amr__ec-18,26,0.356
ciprofloxacin,amr__ec-19,21,0.287
ciprofloxacin,amr__ec-5,597,8.164
ciprofloxacin,amr__ec-8,171,2.338
ciprofloxacin,amr__ef-g,776,10.611
ciprofloxacin,amr__ef-tu,2463,33.68
ciprofloxacin,amr__efflux_pumppotassium_antiporter_system._rosa_major_facilitator_superfamily_transporter._rosb_potassium_antiporter.,1,0.014
ciprofloxacin,amr__emra,1809,24.737
ciprofloxacin,amr__emrab-tolc,2078,28.415
ciprofloxacin,amr__emrb,1731,23.67
ciprofloxacin,amr__emrb_1,75,1.026
ciprofloxacin,amr__emrb_2,55,0.752
ciprofloxacin,amr__emrb_3,6,0.082
ciprofloxacin,amr__emrd,1527,20.881
ciprofloxacin,amr__emre,1291,17.653
ciprofloxacin,amr__emre_1,9,0.123
ciprofloxacin,amr__emre_2,9,0.123
ciprofloxacin,amr__emre_3,2,0.027
ciprofloxacin,amr__emrk,1789,24.463
ciprofloxacin,amr__emrk_1,1,0.014
ciprofloxacin,amr__emrky-tolc,1500,20.511
ciprofloxacin,amr__emrr,1714,23.438
ciprofloxacin,amr__emry,1755,23.998
ciprofloxacin,amr__enoyl-acyl-carrier-protein_reductase_nadh_ec_1.3.1.9,210,2.872
ciprofloxacin,amr__envr,43,0.588
ciprofloxacin,amr__envz_3,1,0.014
ciprofloxacin,amr__envz_4,1,0.014
ciprofloxacin,amr__epta,1008,13.784
ciprofloxacin,amr__epta_1,5,0.068
ciprofloxacin,amr__epta_2,9,0.123
ciprofloxacin,amr__eptb,0,0.0
ciprofloxacin,amr__erea2,2,0.027
ciprofloxacin,amr__erea_family,1,0.014
ciprofloxacin,amr__erea_family_erythromycin_esterase,5,0.068
ciprofloxacin,amr__erm,1,0.014
ciprofloxacin,amr__erm31,1,0.014
ciprofloxacin,amr__erm42,1,0.014
ciprofloxacin,amr__ermb,39,0.533
ciprofloxacin,amr__erya,1,0.014
ciprofloxacin,amr__erythromycin_esterase_ec_3.1.1.-_erea_family,1,0.014
ciprofloxacin,amr__erythromycin_esterase_ec_3.1.1.-_ereb_family,1,0.014
ciprofloxacin,amr__escherichia_ampicillinchloramphenicolquinolonerifampintetracycline_resistant_acrr,2,0.027
ciprofloxacin,amr__escherichia_ampicillinchloramphenicolquinolonerifampintetracycline_resistant_marr,192,2.625
ciprofloxacin,amr__escherichia_ampicillinchloramphenicolquinolonerifampintetracycline_resistant_soxr,2,0.027
ciprofloxacin,amr__escherichia_ampicillinchloramphenicolquinolonerifampintetracycline_resistant_soxs,3,0.041
ciprofloxacin,amr__escherichia_azithromycinclarithromycinerythromycin_resistant_acrb,2,0.027
ciprofloxacin,amr__escherichia_aztreonamcefiderocolcephalosporin_resistant_ftsi,11,0.15
ciprofloxacin,amr__escherichia_carbapenem_resistant_ompc,2,0.027
ciprofloxacin,amr__escherichia_coli_acra,1010,13.811
